Date,platinum
2023-03-02,963.2
2023-03-01,961.8
2023-02-28,955.5
2023-02-27,941.9
2023-02-26,911.25
2023-02-24,907.6
2023-02-23,945.2
2023-02-22,953.0
2023-02-21,945.55
2023-02-20,929.0
2023-02-19,918.55
2023-02-17,921.4
2023-02-16,931.0
2023-02-15,917.8
2023-02-14,939.2
2023-02-13,959.4
2023-02-12,950.15
2023-02-10,951.8
2023-02-09,964.2
2023-02-08,987.2
2023-02-07,986.2
2023-02-06,974.6
2023-02-05,982.65
2023-02-03,980.3
2023-02-02,1032.6
2023-02-01,1001.7
2023-01-31,1021.1
2023-01-30,1020.6
2023-01-29,1022.35
2023-01-27,1016.8
2023-01-26,1023.0
2023-01-25,1046.1
2023-01-24,1066.8
2023-01-23,1056.3
2023-01-22,1051.6
2023-01-20,1047.8
2023-01-19,1041.1
2023-01-18,1043.7
2023-01-17,1046.9
2023-01-16,1071.8
2023-01-15,1074.45
2023-01-13,1072.5
2023-01-12,1084.3
2023-01-11,1084.3
2023-01-10,1088.5
2023-01-09,1098.6
2023-01-08,1113.45
2023-01-06,1104.3
2023-01-05,1069.6
2023-01-04,1092.3
2023-01-03,1093.3
2023-01-02,1085.75
2022-12-30,1082.9
2022-12-29,1065.0
2022-12-28,1019.8
2022-12-27,1032.7
2022-12-26,1036.0
2022-12-23,1029.6
2022-12-22,984.6
2022-12-21,1002.0
2022-12-20,1013.0
2022-12-19,987.7
2022-12-18,1001.85
2022-12-16,1000.0
2022-12-15,1013.2
2022-12-14,1038.7
2022-12-13,1038.9
2022-12-12,1008.0
2022-12-11,1027.6
2022-12-09,1036.2
2022-12-08,1014.6
2022-12-07,1011.5
2022-12-06,995.4
2022-12-05,1007.5
2022-12-04,1031.4
2022-12-02,1026.6
2022-12-01,1054.9
2022-11-30,1039.3
2022-11-29,1008.6
2022-11-28,1012.3
2022-11-27,984.3
2022-11-25,1000.8
2022-11-24,996.9
2022-11-23,1009.8
2022-11-22,1008.7
2022-11-21,989.95
2022-11-20,987.8
2022-11-18,984.3
2022-11-17,991.5
2022-11-16,1016.2
2022-11-15,1022.4
2022-11-14,1033.0
2022-11-13,1043.95
2022-11-11,1044.75
2022-11-10,1047.0
2022-11-09,998.1
2022-11-08,1011.95
2022-11-07,989.4
2022-11-06,957.5
2022-11-04,960.5
2022-11-03,924.1
2022-11-02,950.9
2022-11-01,950.5
2022-10-31,930.1
2022-10-30,951.15
2022-10-28,946.4
2022-10-27,967.4
2022-10-26,962.5
2022-10-25,919.7
2022-10-24,926.6
2022-10-23,941.45
2022-10-21,933.9
2022-10-20,915.1
2022-10-19,881.1
2022-10-18,907.3
2022-10-17,913.6
2022-10-16,903.65
2022-10-14,894.9
2022-10-13,896.4
2022-10-12,881.0
2022-10-11,899.1
2022-10-10,895.8
2022-10-09,914.7
2022-10-07,917.9
2022-10-06,921.8
2022-10-05,914.6
2022-10-04,933.7
2022-10-03,900.1
2022-10-02,861.0
2022-09-30,860.9
2022-09-29,861.5
2022-09-28,865.4
2022-09-27,839.7
2022-09-26,844.9
2022-09-25,857.95
2022-09-23,856.5
2022-09-22,899.0
2022-09-21,911.7
2022-09-20,914.5
2022-09-19,912.6
2022-09-18,908.25
2022-09-16,896.1
2022-09-15,902.2
2022-09-14,904.5
2022-09-13,883.4
2022-09-12,904.2
2022-09-11,873.75
2022-09-09,877.5
2022-09-08,866.5
2022-09-07,848.6
2022-09-06,836.7
2022-09-05,831.85
2022-09-04,815.45
2022-09-02,822.3
2022-09-01,810.1
2022-08-31,831.6
2022-08-30,836.6
2022-08-29,855.8
2022-08-28,847.75
2022-08-26,859.7
2022-08-25,878.1
2022-08-24,870.6
2022-08-23,877.7
2022-08-22,869.4
2022-08-21,885.65
2022-08-19,889.4
2022-08-18,905.9
2022-08-17,920.0
2022-08-16,932.0
2022-08-15,935.1
2022-08-14,960.6
2022-08-12,960.9
2022-08-11,960.7
2022-08-10,947.6
2022-08-09,934.2
2022-08-08,939.9
2022-08-07,926.8
2022-08-05,926.1
2022-08-04,926.0
2022-08-03,890.1
2022-08-02,906.4
2022-08-01,903.5
2022-07-31,885.7
2022-07-29,891.6
2022-07-28,878.6
2022-07-27,877.2
2022-07-26,864.4
